iteration_number,unreachable_points_number,recall
1262,14840,0.986349
1263,14848,0.986326
1264,14860,0.986330
1265,14870,0.986309
1266,14879,0.986289
1267,14896,0.986295
1268,14902,0.986301
1269,14914,0.986260
1270,14925,0.986232
1271,14937,0.986243
1272,14945,0.986208
1273,14959,0.986232
1274,14972,0.986213
1275,14982,0.986237
1276,14992,0.986247
1277,15002,0.986239
1278,15014,0.986203
1279,15024,0.986160
1280,15038,0.986158
1281,15054,0.986156
1282,15065,0.986166
1283,15080,0.986123
1284,15092,0.986133
1285,15103,0.986114
1286,15113,0.986107
1287,15124,0.986065
1288,15135,0.986017
1289,15145,0.986021
1290,15158,0.985979
1291,15170,0.985973
1292,15175,0.985954
1293,15182,0.985939
1294,15195,0.985967
1295,15211,0.985943
1296,15223,0.985994
1297,15233,0.985947
1298,15237,0.985943
1299,15249,0.985956
1300,15253,0.985982
1301,15259,0.985952
1302,15275,0.985970
1303,15287,0.985938
1304,15292,0.985951
1305,15304,0.985923
1306,15313,0.985898
1307,15329,0.985928
1308,15344,0.985907
1309,15352,0.985870
1310,15367,0.985885
1311,15378,0.985877
1312,15391,0.985850
1313,15402,0.985835
1314,15423,0.985820
1315,15430,0.985778
1316,15446,0.985784
1317,15459,0.985801
1318,15473,0.985763
1319,15486,0.985746
1320,15495,0.985714
1321,15504,0.985686
1322,15516,0.985668
1323,15533,0.985689
1324,15542,0.985691
1325,15552,0.985668
1326,15566,0.985662
1327,15580,0.985686
1328,15587,0.985670
1329,15595,0.985655
1330,15607,0.985622
1331,15613,0.985606
1332,15623,0.985563
1333,15635,0.985584
1334,15642,0.985585
1335,15659,0.985565
1336,15665,0.985579
1337,15666,0.985608
1338,15674,0.985556
1339,15686,0.985567
1340,15696,0.985581
1341,15705,0.985566
1342,15716,0.985575
1343,15728,0.985608
1344,15738,0.985563
1345,15759,0.985497
1346,15768,0.985468
1347,15778,0.985420
1348,15787,0.985420
1349,15802,0.985385
1350,15809,0.985372
1351,15822,0.985426
1352,15832,0.985449
1353,15843,0.985399
1354,15855,0.985396
1355,15863,0.985403
1356,15871,0.985417
1357,15880,0.985393
1358,15887,0.985403
1359,15894,0.985392
